"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.957394,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",29.84555,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",7.311818,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",16.718,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.13932,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",33.13993,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",33.60643,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.566522,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.32463,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.34111,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.14029,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",88.49532,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.522099,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",17.0554,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",5.441419,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.671813,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.991186,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.240073,
"NLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",5.395937,
"NZL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",39.8467,
"NOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",47.6722,
"POL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",8.536137,
"PRT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",21.21663,
"SVK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.148787,
"ESP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.12754,
"SWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",39.44614,
"CHE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",21.30457,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",12.08228,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.656305,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",7.537478,
"ALB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",27.38466,
"DZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.1129411,
"AGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",53.15757,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",8.055003,
"ARM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.04736,
"AZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.544874,
"BHR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0,
"BGD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",20.99053,
"BLR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.00351,
"BEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",52.74787,
"BOL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",8.8349,
"BIH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.7493,
"BWA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",18.31032,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",42.31983,
"BRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",0.003659498,
"BGR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.03155,
"KHM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",52.30679,
"CMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",74.39848,
"CHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",27.8409,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.178692,
"COL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",26.49554,
"COG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",58.19729,
"CRI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",47.98487,
"CIV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",61.8485,
"HRV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",21.70099,
"CUB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",16.1533,
"CYP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",7.935569,
"COD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",97.37576,
"DOM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.12301,
"ECU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",15.69591,
"EGY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",5.039236,
