"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",6.321681,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",6.554044,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.957394,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.03609,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",7.312959,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",8.46729,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",17.77557,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",16.95478,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",16.718,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.22611,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",16.15387,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",17.25609,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.919929,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",9.745078,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.566522,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.37413,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",10.61327,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",11.81464,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",12.63595,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",12.5308,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.32463,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.01132,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",15.01865,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",16.38337,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",17.21827,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",17.23303,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",17.0554,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",17.72264,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",18.13414,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",19.42268,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",5.065178,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",5.022702,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",5.441419,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.743594,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",6.270579,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",6.773438,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",1.475738,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",1.522355,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.671813,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.94492,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2019",2.000436,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2020",2.250828,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.366058,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",8.45571,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.240073,
