"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","2018",247292,
"AUT","ELECTRICITY","TOT","GWH","A","2018",65383.711,
"BEL","ELECTRICITY","TOT","GWH","A","2018",71984.3,
"CAN","ELECTRICITY","TOT","GWH","A","2018",635394,
"CZE","ELECTRICITY","TOT","GWH","A","2018",80861.141,
"DNK","ELECTRICITY","TOT","GWH","A","2018",29314.3,
"FIN","ELECTRICITY","TOT","GWH","A","2018",67533,
"FRA","ELECTRICITY","TOT","GWH","A","2018",557797.811,
"DEU","ELECTRICITY","TOT","GWH","A","2018",608912,
"GRC","ELECTRICITY","TOT","GWH","A","2018",50781.194,
"HUN","ELECTRICITY","TOT","GWH","A","2018",29866,
"ISL","ELECTRICITY","TOT","GWH","A","2018",19432.498,
"IRL","ELECTRICITY","TOT","GWH","A","2018",30352.292,
"ITA","ELECTRICITY","TOT","GWH","A","2018",279844.619,
"JPN","ELECTRICITY","TOT","GWH","A","2018",1024980.181,
"KOR","ELECTRICITY","TOT","GWH","A","2018",566845.053,
"LUX","ELECTRICITY","TOT","GWH","A","2018",2171.402,
"MEX","ELECTRICITY","TOT","GWH","A","2018",344126.239,
"NLD","ELECTRICITY","TOT","GWH","A","2018",110692.105,
"NZL","ELECTRICITY","TOT","GWH","A","2018",43157.095,
"NOR","ELECTRICITY","TOT","GWH","A","2018",146237.601,
"POL","ELECTRICITY","TOT","GWH","A","2018",155259.671,
"PRT","ELECTRICITY","TOT","GWH","A","2018",58197.215,
"SVK","ELECTRICITY","TOT","GWH","A","2018",24863,
"ESP","ELECTRICITY","TOT","GWH","A","2018",263827,
"SWE","ELECTRICITY","TOT","GWH","A","2018",159677,
"CHE","ELECTRICITY","TOT","GWH","A","2018",67449.571,
"TUR","ELECTRICITY","TOT","GWH","A","2018",290502.158,
"GBR","ELECTRICITY","TOT","GWH","A","2018",317362.128,
"USA","ELECTRICITY","TOT","GWH","A","2018",4236927.396,
"OEU","ELECTRICITY","TOT","GWH","A","2018",3524194.02,
"CHL","ELECTRICITY","TOT","GWH","A","2018",79882.471,
"EST","ELECTRICITY","TOT","GWH","A","2018",10932.802,
"ISR","ELECTRICITY","TOT","GWH","A","2018",66590.201,
"SVN","ELECTRICITY","TOT","GWH","A","2018",15441.97,
"OECD","ELECTRICITY","TOT","GWH","A","2018",10847233.123,
"LVA","ELECTRICITY","TOT","GWH","A","2018",6203.231,
"LTU","ELECTRICITY","TOT","GWH","A","2018",3314.3,
"ALB","ELECTRICITY","TOT","GWH","A","2018",8508.253,
"BIH","ELECTRICITY","TOT","GWH","A","2018",17912,
"BGR","ELECTRICITY","TOT","GWH","A","2018",42714.415,
"COL","ELECTRICITY","TOT","GWH","A","2018",77844.467,
"HRV","ELECTRICITY","TOT","GWH","A","2018",13181.6,
"CYP","ELECTRICITY","TOT","GWH","A","2018",4827.281,
"GEO","ELECTRICITY","TOT","GWH","A","2018",11933.7,
"MLT","ELECTRICITY","TOT","GWH","A","2018",1911.107,
"MDA","ELECTRICITY","TOT","GWH","A","2018",5010,
"ROU","ELECTRICITY","TOT","GWH","A","2018",60175.52,
"UKR","ELECTRICITY","TOT","GWH","A","2018",147093.2,
"SRB","ELECTRICITY","TOT","GWH","A","2018",34783.407,
"MNE","ELECTRICITY","TOT","GWH","A","2018",3677,
