"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","2017",243517,
"AUT","ELECTRICITY","TOT","GWH","A","2017",68093.595,
"BEL","ELECTRICITY","TOT","GWH","A","2017",83116.9,
"CAN","ELECTRICITY","TOT","GWH","A","2017",644141,
"CZE","ELECTRICITY","TOT","GWH","A","2017",79885.766,
"DNK","ELECTRICITY","TOT","GWH","A","2017",29638.3,
"FIN","ELECTRICITY","TOT","GWH","A","2017",65043,
"FRA","ELECTRICITY","TOT","GWH","A","2017",537849.214,
"DEU","ELECTRICITY","TOT","GWH","A","2017",619053,
"GRC","ELECTRICITY","TOT","GWH","A","2017",50589.215,
"HUN","ELECTRICITY","TOT","GWH","A","2017",30699,
"ISL","ELECTRICITY","TOT","GWH","A","2017",18846.295,
"IRL","ELECTRICITY","TOT","GWH","A","2017",30092.493,
"ITA","ELECTRICITY","TOT","GWH","A","2017",285265.649,
"JPN","ELECTRICITY","TOT","GWH","A","2017",1032764.785,
"KOR","ELECTRICITY","TOT","GWH","A","2017",545796.002,
"LUX","ELECTRICITY","TOT","GWH","A","2017",2204.811,
"MEX","ELECTRICITY","TOT","GWH","A","2017",308933.13,
"NLD","ELECTRICITY","TOT","GWH","A","2017",113425.137,
"NZL","ELECTRICITY","TOT","GWH","A","2017",43012.206,
"NOR","ELECTRICITY","TOT","GWH","A","2017",148763,
"POL","ELECTRICITY","TOT","GWH","A","2017",154869.344,
"PRT","ELECTRICITY","TOT","GWH","A","2017",57668.978,
"SVK","ELECTRICITY","TOT","GWH","A","2017",25692,
"ESP","ELECTRICITY","TOT","GWH","A","2017",264918,
"SWE","ELECTRICITY","TOT","GWH","A","2017",160526,
"CHE","ELECTRICITY","TOT","GWH","A","2017",61652.047,
"TUR","ELECTRICITY","TOT","GWH","A","2017",284257.519,
"GBR","ELECTRICITY","TOT","GWH","A","2017",322727.104,
"USA","ELECTRICITY","TOT","GWH","A","2017",4086002.602,
"OEU","ELECTRICITY","TOT","GWH","A","2017",3532542.694,
"CHL","ELECTRICITY","TOT","GWH","A","2017",77028.196,
"EST","ELECTRICITY","TOT","GWH","A","2017",11248.492,
"ISR","ELECTRICITY","TOT","GWH","A","2017",65475.517,
"SVN","ELECTRICITY","TOT","GWH","A","2017",15396.876,
"OECD","ELECTRICITY","TOT","GWH","A","2017",10656447.505,
"LVA","ELECTRICITY","TOT","GWH","A","2017",7024.859,
"LTU","ELECTRICITY","TOT","GWH","A","2017",3996.1,
"ALB","ELECTRICITY","TOT","GWH","A","2017",4497.807,
"BIH","ELECTRICITY","TOT","GWH","A","2017",15239,
"BGR","ELECTRICITY","TOT","GWH","A","2017",41351.303,
"COL","ELECTRICITY","TOT","GWH","A","2017",77234.373,
"HRV","ELECTRICITY","TOT","GWH","A","2017",11522.9,
"CYP","ELECTRICITY","TOT","GWH","A","2017",4778.28,
"GEO","ELECTRICITY","TOT","GWH","A","2017",11315.8,
"MLT","ELECTRICITY","TOT","GWH","A","2017",1602.516,
"MDA","ELECTRICITY","TOT","GWH","A","2017",4603,
"ROU","ELECTRICITY","TOT","GWH","A","2017",59355.43,
"UKR","ELECTRICITY","TOT","GWH","A","2017",144905.8,
"SRB","ELECTRICITY","TOT","GWH","A","2017",34298.552,
"MNE","ELECTRICITY","TOT","GWH","A","2017",2363.8,
