"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","2019",250531,
"CAN","ELECTRICITY","TOT","GWH","A","2019",627229,
"FRA","ELECTRICITY","TOT","GWH","A","2019",546974.825,
"DEU","ELECTRICITY","TOT","GWH","A","2019",578863,
"ITA","ELECTRICITY","TOT","GWH","A","2019",283950.056,
"JPN","ELECTRICITY","TOT","GWH","A","2019",1001493.542,
"KOR","ELECTRICITY","TOT","GWH","A","2019",559099.467,
"MEX","ELECTRICITY","TOT","GWH","A","2019",330690.057,
"TUR","ELECTRICITY","TOT","GWH","A","2019",289135.759,
"GBR","ELECTRICITY","TOT","GWH","A","2019",310338.503,
"USA","ELECTRICITY","TOT","GWH","A","2019",4195573.397,
"OECD","ELECTRICITY","TOT","GWH","A","2019",10727433.733,
