"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.03609,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",29.43423,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.775867,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.22611,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.12844,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",32.87941,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",33.77847,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.37413,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.01132,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",12.56322,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.49218,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",88.85349,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.29611,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",17.72264,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.743594,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.94492,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.530264,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.402923,
"NLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",6.035296,
"NZL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",41.5835,
"NOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.37768,
"POL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.488762,
"PRT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",24.80534,
"SVK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.132762,
